event-id,visible,timestamp,location-long,location-lat,gps:hdop,gps:satellite-count,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
18974480159,true,2012-10-05 22:36:13.000,-82.41869,28.0623,1.2,5,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480160,true,2012-10-05 22:40:08.000,-82.41866,28.0623,1.2,5,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480161,true,2012-10-05 22:44:10.000,-82.41866,28.06226,1.5,4,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480162,true,2012-10-05 22:48:12.000,-82.41846,28.06237,1.4,5,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480163,true,2012-10-05 22:52:14.000,-82.41843,28.06208,1.4,5,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480164,true,2012-10-05 22:56:10.000,-82.41824,28.06231,1.2,6,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480165,true,2012-10-05 23:00:12.000,-82.41856,28.06247,1.1,6,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480166,true,2012-10-05 23:04:22.000,-82.41848,28.06247,1.5,5,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480167,true,2012-10-05 23:08:15.000,,,0.0,0,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480168,true,2012-10-05 23:12:09.000,-82.41842,28.06229,2.2,4,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480169,true,2012-10-05 23:16:07.000,-82.41824,28.06255,1.1,5,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480170,true,2012-10-05 23:20:21.000,-82.41844,28.06235,1.5,5,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480171,true,2012-10-05 23:24:14.000,-82.41849,28.06226,1.7,5,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480172,true,2012-10-05 23:28:14.000,-82.41842,28.0622,1.4,5,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
